questions,output
After how many hour from drinking an antibiotic can I drink alcohol?,"{
  ""department"": ""Pharmacology"",
  ""accepted_department"": [
    ""Pharmacology"",
    ""Internal Medicine"",
    ""Infectious Disease""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Am I over weight (192.9) for my age (39)?,"{
  ""department"": ""Nutrition"",
  ""accepted_department"": [
    ""Nutrition"",
    ""Endocrinology"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
Aspirin allergy - is it worth getting a bracelet?,"{
  ""department"": ""Allergy & Immunology"",
  ""accepted_department"": [
    ""Allergy & Immunology"",
    ""Internal Medicine"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Aspirin allergy"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
"At a doctor's visit, I hit my head against a box on the wall containing hazardous materials (used syringes, used needles...). Will I get infected?","{
  ""department"": ""Infectious Disease"",
  ""accepted_department"": [
    ""Infectious Disease"",
    ""Emergency Medicine"",
    ""Neurology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
Been on antibiotics 4 5wks top high tooth dentist cld not get needle 2 freeze 2 extract in gum really hurt she said its the tissues hve 2 go bk? Plz,"{
  ""department"": ""Dental"",
  ""accepted_department"": [
    ""Dental"",
    ""Oral Surgery"",
    ""Maxillofacial Surgery""
  ],
  ""symptoms"": [
    ""pain"",
    ""gum tissue discomfort""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Frustrated"",
  ""urgency_level"": ""High""
}"
Can Adderall (dextroamphetamine and racemic amphetamine) cause ear pressure and slight headaches at the end of the day?,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Mental Health"",
    ""ENT""
  ],
  ""symptoms"": [
    ""ear pressure"",
    ""slight headaches""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
Can coarctation of the aorta cause poor growth in height?,"{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Pediatrics"",
    ""Endocrinology""
  ],
  ""symptoms"": [],
  ""condition"": ""Coarctation of the aorta"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Can doxycycline treat an ear infection?,"{
  ""department"": ""ENT"",
  ""accepted_department"": [
    ""ENT"",
    ""Infectious Disease"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Can vinegar help drain the sinus? I've been eating balsamic vinegar dressing with my salads and I feel them draining is that normal??,"{
  ""department"": ""ENT"",
  ""accepted_department"": [
    ""ENT"",
    ""Nutrition"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Could chiari malformation cause pituitary problems or diabetes insipidus?,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Endocrinology"",
    ""Neurology"",
    ""Neurosurgery""
  ],
  ""symptoms"": [],
  ""condition"": ""Chiari malformation"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
